#rpkm values of gene expression		
#data file name	unstressed_noCHX	unstressed_1/64x_CHX	unstressed_1/16x_CHX	unstressed_1/4x_CHX	unstressed_1x_CHX	unstressed_8x_CHX	unstressed_100x_CHX_rep1	unstressed_100x_CHX_rep2	oxidative_noCHX	oxidative_1/64x_CHX	oxidative_1/16x_CHX	oxidative_1/4x_CHX	oxidative_1x_CHX	oxidative_8x_CHX	oxidative_100x_CHX_rep1	oxidative_100x_CHX_rep2	heatshock_noCHX	heatshock_1x_CHX	complete_SD_media	SD_no_aminoacids	SD_no_aminoacids_plus_His_Met_Leu	edeine_noCHX	aurin_noCHX 
#gene id/sample#	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23
orf	unstressed_noCHX	unstressed_1/64x_CHX	unstressed_1/16x_CHX	unstressed_1/4x_CHX	unstressed_1x_CHX	unstressed_8x_CHX	unstressed_100x_CHX_rep1	unstressed_100x_CHX_rep2	oxidative_noCHX	oxidative_1/64x_CHX	oxidative_1/16x_CHX	oxidative_1/4x_CHX	oxidative_1x_CHX	oxidative_8x_CHX	oxidative_100x_CHX_rep1	oxidative_100x_CHX_rep2	heatshock_noCHX	heatshock_1x_CHX	complete_SD_media	SD_no_aminoacids	SD_no_aminoacids_plus_His_Met_Leu	edeine_noCHX	aurin_noCHX
YBL015W	19.127	11.971	17.284	17.475	15.498	21.371	14.638	13.987	65.315	48.026	87.524	82.068	65.757	55.201	56.082	51.433	32.921	47.381	34.215	136.784	92.721	15.641	16.249
YBL016W	26.948	18.941	24.721	17.984	24.683	16.022	15.249	24.709	18.015	26.07	31.881	26.263	15.629	13.86	16.771	16.284	9.781	4.249	37.685	71.998	21.1	19.59	30.109
YBL017C	37.758	29.612	40.397	42.985	36.987	41.155	42.386	37.081	50.911	49.886	43.941	49.747	44.296	56.992	62.338	51.92	32.752	22.905	39.532	21.998	51.962	32.407	21.708
YBL018C	51.412	26.357	61.872	59.829	48.678	37.783	47.355	57.093	21.756	17.372	21.191	25.688	17.326	15.155	22.178	26.427	7.228	5.757	59.765	49.876	17.899	50.873	73.066
YBL019W	2.819	6.396	5.983	5.384	4.148	3.539	2.662	3.463	8.369	14.332	15.03	11.956	11.795	8.954	7.278	7.06	5.457	9.546	3.731	9.967	7.48	2.147	4.826
YBL020W	20.256	16.668	20.021	17.831	17.778	15.35	15.578	13.436	5.97	6.578	6.172	6.716	3.68	4.39	7.585	6.25	4.737	2.515	17.049	10.255	8.364	18.845	9.666
YBL021C	21.835	36.751	37.959	39.888	20.083	24.585	29.644	24.245	55.388	72.41	65.64	54.89	38.25	47.481	52.399	51.642	12.767	9.151	31.051	29.536	28.978	38.675	30.541
YBL022C	51.754	60.701	65.018	62.107	51.456	59.719	55.295	49.172	161.678	196.48	220.346	189.476	160.452	162.897	192.434	206.731	83.672	52.818	60.043	45.106	98.354	59.807	50.841
YBL023C	20.31	23.376	20.816	22.218	18.364	20.884	16.648	18.012	20.1	25.911	16.927	13.894	16.22	15.629	16.269	14.11	16.718	13.18	21.609	33.028	37.173	18.793	24.544
YBL024W	145.426	129.478	102.045	109.936	116.8	117.838	150.3	166.714	46.299	50.262	27.626	25.082	32.772	29.912	54.269	50.806	18.668	5.75	119.956	58.869	60.129	128.527	123.758
