orf	norm	dens	count	len	total
YER077C	13.093	22.233	46	2069	1698134
YER077C_3_utr	7.361	12.500	1	80	1698134
YER077C_5_utr	0.000	0.000	0	58	1698134
YER078C	10.338	17.555	27	1538	1698134
YER078C_3_utr	0.000	0.000	0	55	1698134
YER078C_5_utr	15.497	26.316	1	38	1698134
YER079W_3_utr	0.000	0.000	0	236	1698134
YER080W	73.064	124.072	234	1886	1698134
YER080W_3_utr	0.000	0.000	0	68	1698134
YER081W	26.274	44.618	63	1412	1698134
YER081W_3_utr	0.000	0.000	0	165	1698134
YER082C	52.635	89.382	149	1667	1698134
YER082C_3_utr	0.000	0.000	0	55	1698134
YER082C_5_utr	0.000	0.000	0	58	1698134
YER083C	93.125	158.140	136	860	1698134
YER085C	0.000	0.000	0	524	1698134
YER086W	107.039	181.766	315	1733	1698134
YER086W_3_utr	4.637	7.874	1	127	1698134
YER086W_5_utr	0.000	0.000	0	47	1698134
YER087C-B	354.267	601.594	151	251	1698134
YER087C-B_3_utr	10.212	17.341	3	173	1698134
YER087C-B_5_utr	0.000	0.000	0	18	1698134
YER087W	10.534	17.888	31	1733	1698134
YER087W_3_utr	0.000	0.000	0	56	1698134
YER087W_5_utr	0.000	0.000	0	36	1698134
YER088C	40.330	68.486	138	2015	1698134
YER088C_3_utr	0.000	0.000	0	105	1698134
YER088C_5_utr	0.000	0.000	0	445	1698134
YER089C	61.544	104.510	146	1397	1698134
YER089C_3_utr	0.000	0.000	0	41	1698134
YER089C_5_utr	51.118	86.806	25	288	1698134
YER090W	191.406	325.033	496	1526	1698134
YER090W_3_utr	0.000	0.000	0	91	1698134
YER090W_5_utr	0.000	0.000	0	35	1698134
YER091C	575.347	977.016	2253	2306	1698134
YER091C_3_utr	3.166	5.376	1	186	1698134
YER091C_5_utr	46.491	78.947	3	38	1698134
YER092W	85.233	144.737	55	380	1698134
YER093C	5.210	8.847	38	4295	1698134
YER093C-A	19.283	32.746	13	397	1698134
YER093C-A_3_utr	0.000	0.000	0	107	1698134
YER093C-A_5_utr	0.000	0.000	0	68	1698134
YER093C_5_utr	0.000	0.000	0	16	1698134
YER094C	181.414	308.065	191	620	1698134
YER094C_3_utr	0.000	0.000	0	116	1698134
YER094C_5_utr	5.948	10.101	2	198	1698134
YER095W	29.322	49.793	60	1205	1698134
YER095W_3_utr	0.000	0.000	0	214	1698134
YER095W_5_utr	0.000	0.000	0	39	1698134
YER096W	1.529	2.596	4	1541	1698134
YER098W	0.779	1.323	3	2267	1698134
YER098W_3_utr	0.000	0.000	0	82	1698134
YER099C	51.581	87.591	84	959	1698134
YER099C_3_utr	15.100	25.641	1	39	1698134
YER099C_5_utr	0.000	0.000	0	255	1698134
YER100W	126.356	214.570	162	755	1698134
YER100W_3_utr	0.000	0.000	0	80	1698134
YER100W_5_utr	23.650	40.161	10	249	1698134
YER101C	14.097	23.938	31	1295	1698134
YER102W_3_utr	23.093	39.216	2	51	1698134
YER102W_5_utr	3.346	5.682	2	352	1698134
YER103W	26.837	45.572	88	1931	1698134
YER103W_3_utr	0.000	0.000	0	115	1698134
YER104W	16.852	28.617	18	629	1698134
YER104W_3_utr	0.000	0.000	0	368	1698134
YER105C	24.102	40.929	171	4178	1698134
YER105C_3_utr	0.000	0.000	0	206	1698134
YER105C_5_utr	0.000	0.000	0	22	1698134
YER106W	0.000	0.000	0	911	1698134
YER107C	54.070	91.818	101	1100	1698134
YER107C_3_utr	0.000	0.000	0	99	1698134
YER107C_5_utr	18.288	31.056	5	161	1698134
YER109C	5.148	8.743	21	2402	1698134
YER109C_3_utr	0.000	0.000	0	303	1698134
YER110C	292.328	496.411	1660	3344	1698134
YER110C_3_utr	17.579	29.851	2	67	1698134
YER110C_5_utr	117.776	200.000	4	20	1698134
YER111C	17.932	30.451	100	3284	1698134
YER111C_3_utr	0.000	0.000	0	73	1698134
YER112W	169.590	287.986	163	566	1698134
YER112W_3_utr	23.245	39.474	3	76	1698134
YER112W_5_utr	0.000	0.000	0	67	1698134
YER113C	13.869	23.552	50	2123	1698134
YER114C	36.935	62.720	196	3125	1698134
YER114C_3_utr	0.000	0.000	0	199	1698134
YER114C_5_utr	9.622	16.340	5	306	1698134
YER115C	9.169	15.571	9	578	1698134
YER115C_3_utr	0.000	0.000	0	78	1698134
YER116C	17.090	29.021	24	827	1698134
YER116C_5_utr	0.000	0.000	0	85	1698134
YER117W_3_utr	0.000	0.000	0	51	1698134
YER117W_5_utr	39.259	66.667	1	15	1698134
YER117W_intron	2.544	4.320	2	463	1698134
YER118C	48.985	83.183	92	1106	1698134
YER118C_3_utr	0.000	0.000	0	141	1698134
YER118C_5_utr	13.086	22.222	4	180	1698134
YER119C	16.588	28.169	38	1349	1698134
YER119C_3_utr	0.000	0.000	0	78	1698134
YER119C_5_utr	0.000	0.000	0	120	1698134
YER120W	453.846	770.692	568	737	1698134
YER120W_3_utr	0.000	0.000	0	85	1698134
YER120W_5_utr	0.000	0.000	0	11	1698134
YER121W	5.091	8.646	3	347	1698134
YER121W_3_utr	0.000	0.000	0	95	1698134
YER121W_5_utr	0.000	0.000	0	102	1698134
YER122C	156.744	266.173	395	1484	1698134
YER122C_3_utr	0.000	0.000	0	108	1698134
YER122C_5_utr	0.000	0.000	0	66	1698134
YER123W	28.380	48.193	76	1577	1698134
YER123W_3_utr	0.000	0.000	0	408	1698134
YER123W_5_utr	13.538	22.989	4	174	1698134
YER124C	130.141	220.998	381	1724	1698134
YER124C_3_utr	2.141	3.636	1	275	1698134
YER124C_5_utr	0.000	0.000	0	33	1698134
YER125W	92.739	157.484	383	2432	1698134
YER125W_3_utr	0.000	0.000	0	363	1698134
YER125W_5_utr	20.348	34.553	17	492	1698134
YER126C	192.059	326.142	257	788	1698134
YER126C_3_utr	0.000	0.000	0	109	1698134
YER126C_5_utr	0.000	0.000	0	10	1698134
YER127W	63.485	107.807	116	1076	1698134
YER127W_3_utr	0.000	0.000	0	74	1698134
YER127W_5_utr	0.000	0.000	0	4	1698134
YER128W	17.264	29.316	18	614	1698134
YER128W_3_utr	0.000	0.000	0	112	1698134
YER129W	9.612	16.322	56	3431	1698134
YER129W_3_utr	0.000	0.000	0	235	1698134
YER129W_5_utr	2.309	3.922	2	510	1698134
YER130C	18.982	32.234	43	1334	1698134
YER130C_3_utr	0.000	0.000	0	78	1698134
YER130C_5_utr	0.000	0.000	0	70	1698134
YER131W	2664.608	4524.862	1638	362	1698134
YER131W_3_utr	4.495	7.634	1	131	1698134
YER131W_5_utr	1.702	2.890	1	346	1698134
YER132C	3.468	5.889	31	5264	1698134
YER132C_3_utr	0.000	0.000	0	108	1698134
YER132C_5_utr	0.000	0.000	0	47	1698134
YER133W	268.254	455.531	420	922	1698134
YER133W_3_utr	8.217	13.953	3	215	1698134
YER133W_5_utr	40.151	68.182	3	44	1698134
YER133W_intron	4.556	7.737	4	517	1698134
YER134C	49.165	83.488	45	539	1698134
YER134C_3_utr	0.000	0.000	0	206	1698134
YER134C_5_utr	0.000	0.000	0	21	1698134
YER136W	137.464	233.432	317	1358	1698134
YER136W_3_utr	0.000	0.000	0	312	1698134
YER136W_5_utr	18.403	31.250	2	64	1698134
YER137C	18.362	31.180	14	449	1698134
YER137C_3_utr	0.000	0.000	0	137	1698134
YER138W-A_3_utr	0.000	0.000	0	3	1698134
YER139C	14.657	24.890	17	683	1698134
YER139C_3_utr	0.000	0.000	0	107	1698134
YER139C_5_utr	7.958	13.514	1	74	1698134
YER140W	7.744	13.150	22	1673	1698134
YER141W_3_utr	0.000	0.000	0	1024	1698134
YER142C	6.594	11.198	10	893	1698134
YER143W	40.660	69.046	89	1289	1698134
YER143W_3_utr	4.362	7.407	1	135	1698134
YER143W_5_utr	0.000	0.000	0	50	1698134
YER144C	5.353	9.091	22	2420	1698134
