# Downloaded from http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM346117, 2/14/2009
orf	norm	dens	count	len	total
YBL042C	58.610	207.596	399	1922	3541965
YBL042C_3primeutr	52.484	185.897	29	156	3541965
YBL042C_5primeutr	44.114	156.250	5	32	3541965
YBL043W	3.638	12.887	10	776	3541965
YBL043W_3primeutr	10.807	38.278	8	209	3541965
YBL043W_5primeutr	4.785	16.949	2	118	3541965
YBL044W	1.522	5.391	2	371	3541965
YBL045C	81.662	289.244	398	1376	3541965
YBL045C_3primeutr	77.688	275.168	41	149	3541965
YBL045C_5primeutr	20.390	72.222	13	180	3541965
YBL046W	66.543	235.693	313	1328	3541965
YBL046W_3primeutr	57.407	203.333	61	300	3541965
YBL046W_5primeutr	12.833	45.455	1	22	3541965
YBL047C	23.482	83.173	345	4148	3541965
YBL047C_3primeutr	47.996	170.000	34	200	3541965
YBL047C_5primeutr	24.730	87.591	12	137	3541965
YBL049W	3.369	11.933	5	419	3541965
YBL049W_3primeutr	8.963	31.746	8	252	3541965
YBL049W_5primeutr	6.787	24.038	5	208	3541965
YBL050W	200.447	709.977	612	862	3541965
YBL050W_3primeutr	236.235	836.735	41	49	3541965
YBL050W_5primeutr	234.477	830.508	49	59	3541965
YBL050W_intron	18.299	64.815	7	108	3541965
YBL051C	21.220	75.162	151	2009	3541965
YBL051C_3primeutr	30.199	106.965	43	402	3541965
YBL051C_5primeutr	12.833	45.455	2	44	3541965
YBL052C	45.887	162.530	406	2498	3541965
YBL052C_3primeutr	49.823	176.471	6	34	3541965
YBL052C_5primeutr	23.527	83.333	2	24	3541965
YBL054W	50.569	179.114	283	1580	3541965
YBL054W_3primeutr	92.030	325.967	59	181	3541965
YBL054W_5primeutr	56.466	200.000	17	85	3541965
YBL055C	109.209	386.815	487	1259	3541965
YBL055C_3primeutr	133.735	473.684	27	57	3541965
YBL055C_5primeutr	18.333	64.935	5	77	3541965
YBL056W	258.284	914.833	1289	1409	3541965
YBL056W_3primeutr	285.301	1010.526	384	380	3541965
YBL056W_5primeutr	225.863	800.000	52	65	3541965
YBL057C	196.801	697.063	451	647	3541965
YBL057C_3primeutr	343.373	1216.216	45	37	3541965
YBL058W	165.542	586.342	747	1274	3541965
YBL058W_3primeutr	133.020	471.154	49	104	3541965
YBL058W_5primeutr	456.070	1615.385	21	13	3541965
YBL059C-A	137.106	485.623	152	313	3541965
YBL059C-A_3primeutr	152.871	541.463	111	205	3541965
YBL059C-A_intron	18.333	64.935	5	77	3541965
YBL059W	30.482	107.965	61	565	3541965
YBL059W_3primeutr	74.297	263.158	5	19	3541965
YBL059W_intron	9.257	32.787	2	61	3541965
YBL060W	46.053	163.117	337	2066	3541965
YBL060W_3primeutr	44.114	156.250	5	32	3541965
YBL060W_5primeutr	12.833	45.455	2	44	3541965
YBL061C	91.457	323.937	678	2093	3541965
YBL061C_3primeutr	125.962	446.154	29	65	3541965
YBL061C_5primeutr	66.430	235.294	20	85	3541965
YBL063W	11.672	41.342	138	3338	3541965
YBL064C	45.861	162.437	128	788	3541965
YBL064C_3primeutr	48.399	171.429	6	35	3541965
YBL064C_5primeutr	16.608	58.824	1	17	3541965
YBL066C	4.175	14.787	51	3449	3541965
YBL067C	34.694	122.885	276	2246	3541965
YBL067C_3primeutr	31.025	109.890	10	91	3541965
YBL067C_5primeutr	33.745	119.522	30	251	3541965
YBL068W	154.622	547.667	540	986	3541965
YBL068W_3primeutr	209.730	742.857	52	70	3541965
YBL068W_5primeutr	96.586	342.105	13	38	3541965
YBL069W	40.208	142.415	184	1292	3541965
YBL069W_3primeutr	53.975	191.176	13	68	3541965
YBL069W_5primeutr	20.658	73.171	3	41	3541965
YBL071C-B	41.930	148.515	15	101	3541965
YBL071W-A	143.977	509.960	128	251	3541965
YBL071W-A_3primeutr	127.893	452.991	106	234	3541965
YBL071W-A_5primeutr	169.397	600.000	12	20	3541965
YBL072C_3primeutr	2588.680	9169.014	651	71	3541965
YBL072C_5primeutr	221.897	785.953	235	299	3541965
YBL074C	35.885	127.103	136	1070	3541965
YBL075C	34.423	121.926	238	1952	3541965
YBL075C_3primeutr	53.270	188.679	10	53	3541965
YBL075C_5primeutr	36.196	128.205	15	117	3541965
YBL076C	228.861	810.618	2611	3221	3541965
YBL076C_3primeutr	538.023	1905.660	101	53	3541965
YBL078C	35.688	126.404	45	356	3541965
YBL078C_3primeutr	44.411	157.303	70	445	3541965
YBL078C_5primeutr	25.666	90.909	1	11	3541965
YBL079W	30.668	108.623	490	4511	3541965
YBL079W_3primeutr	16.982	60.150	16	266	3541965
YBL080C	32.950	116.708	190	1628	3541965
YBL080C_3primeutr	2.320	8.217	10	1217	3541965
YBL081W_3primeutr	31.370	111.111	5	45	3541965
YBL081W_5primeutr	47.055	166.667	10	60	3541965
YBL082C	50.160	177.665	245	1379	3541965
YBL084C_3primeutr	38.397	136.000	17	125	3541965
YBL084C_5primeutr	18.470	65.421	7	107	3541965
YBL085W	35.854	126.995	374	2945	3541965
YBL085W_3primeutr	44.578	157.895	12	76	3541965
YBL086C	42.661	151.105	212	1403	3541965
YBL086C_3primeutr	80.665	285.714	2	7	3541965
YBL087C_3primeutr	6352.406	22500.000	1260	56	3541965
YBL087C_5primeutr	6987.647	24750.000	99	4	3541965
YBL087C_intron	110.427	391.129	194	496	3541965
YBL088C	6.817	24.145	202	8366	3541965
YBL088C_3primeutr	31.962	113.208	6	53	3541965
YBL089W	68.233	241.679	334	1382	3541965
YBL089W_3primeutr	104.865	371.429	13	35	3541965
YBL089W_5primeutr	18.822	66.667	2	30	3541965
YBL090W	173.295	613.806	329	536	3541965
YBL090W_3primeutr	253.031	896.226	95	106	3541965
YBL091C	96.633	342.271	434	1268	3541965
YBL091C-A	32.598	115.460	59	511	3541965
YBL091C-A_3primeutr	112.932	400.000	12	30	3541965
YBL091C-A_intron	7.058	25.000	2	80	3541965
YBL091C_3primeutr	78.425	277.778	15	54	3541965
YBL091C_5primeutr	132.861	470.588	8	17	3541965
YBL092W	3352.927	11875.949	4691	395	3541965
YBL092W_3primeutr	2273.758	8053.571	451	56	3541965
YBL092W_5primeutr	173.126	613.208	195	318	3541965
YBL093C	303.557	1075.188	715	665	3541965
YBL093C_3primeutr	345.328	1223.140	148	121	3541965
YBL093C_5primeutr	167.536	593.407	54	91	3541965
YBL095W	109.468	387.730	316	815	3541965
YBL095W_3primeutr	106.539	377.358	40	106	3541965
YBL097W	23.164	82.047	186	2267	3541965
YBL098W	84.801	300.361	416	1385	3541965
YBL099W	87.281	309.146	507	1640	3541965
YBL099W_3primeutr	76.999	272.727	69	253	3541965
YBL099W_5primeutr	44.051	156.028	44	282	3541965
YBL101C	7.908	28.010	94	3356	3541965
YBL101C_3primeutr	13.574	48.077	5	104	3541965
YBL101C_5primeutr	11.524	40.816	2	49	3541965
YBL102W	248.015	878.462	571	650	3541965
YBL102W_3primeutr	186.128	659.259	89	135	3541965
YBL102W_5primeutr	148.795	527.027	39	74	3541965
YBL103C	43.999	155.844	228	1463	3541965
YBL103C_3primeutr	50.885	180.233	31	172	3541965
YBL103C_5primeutr	38.092	134.921	17	126	3541965
YBL104C	16.022	56.749	177	3119	3541965
YBL104C_3primeutr	18.513	65.574	4	61	3541965
YBL105C	23.595	83.574	289	3458	3541965
YBL105C_3primeutr	14.235	50.420	6	119	3541965
YBL105C_5primeutr	19.187	67.961	21	309	3541965
YBL106C	12.930	45.799	139	3035	3541965
YBL107C	139.022	492.411	292	593	3541965
YBL107C_3primeutr	163.454	578.947	55	95	3541965
YBL107C_5primeutr	11.293	40.000	1	25	3541965
YBR001C	23.959	84.861	199	2345	3541965
YBR001C_3primeutr	52.283	185.185	10	54	3541965
YBR002C	138.057	488.992	422	863	3541965
YBR002C_3primeutr	197.997	701.299	54	77	3541965
YBR002C_5primeutr	44.114	156.250	5	32	3541965
YBR003W	42.825	151.685	216	1424	3541965
YBR003W_3primeutr	51.111	181.034	21	116	3541965
YBR004C	41.570	147.239	192	1304	3541965
YBR004C_3primeutr	22.000	77.922	6	77	3541965
YBR004C_5primeutr	7.430	26.316	1	38	3541965
YBR005W	81.104	287.267	185	644	3541965
YBR005W_3primeutr	57.749	204.545	27	132	3541965
YBR005W_5primeutr	44.578	157.895	3	19	3541965
YBR006W	28.497	100.936	151	1496	3541965
YBR006W_3primeutr	78.726	278.846	29	104	3541965
YBR006W_5primeutr	9.965	35.294	3	85	3541965
YBR007C	19.009	67.329	149	2213	3541965
YBR007C_3primeutr	29.982	106.195	12	113	3541965
YBR008C	23.970	84.900	140	1649	3541965
YBR008C_5primeutr	14.356	50.847	6	118	3541965
YBR009C_3primeutr	3638.437	12887.218	1714	133	3541965
YBR009C_5primeutr	3921.238	13888.889	125	9	3541965
YBR010W_3primeutr	5228.812	18520.270	2741	148	3541965
YBR011C	331.557	1174.365	1017	866	3541965
YBR011C_3primeutr	390.060	1381.579	105	76	3541965
YBR013C	22.327	79.082	31	392	3541965
YBR014C	171.972	609.121	374	614	3541965
YBR014C_3primeutr	258.802	916.667	66	72	3541965
YBR014C_5primeutr	85.926	304.348	14	46	3541965
YBR015C	37.571	133.073	239	1796	3541965
YBR015C_3primeutr	41.376	146.552	17	116	3541965
YBR015C_5primeutr	31.025	109.890	10	91	3541965
YBR016W	60.966	215.938	84	389	3541965
YBR016W_3primeutr	65.489	231.959	45	194	3541965
YBR016W_5primeutr	64.166	227.273	5	22	3541965
YBR017C	72.654	257.340	710	2759	3541965
YBR017C_3primeutr	129.961	460.317	29	63	3541965
YBR017C_5primeutr	51.333	181.818	6	33	3541965
YBR018C	11.006	38.985	43	1103	3541965
YBR019C	1.477	5.233	11	2102	3541965
YBR020W	3.731	13.216	21	1589	3541965
YBR021W	10.528	37.290	71	1904	3541965
YBR021W_3primeutr	15.685	55.556	7	126	3541965
YBR021W_5primeutr	14.553	51.546	5	97	3541965
YBR022W	116.935	414.179	222	536	3541965
YBR022W_3primeutr	132.861	470.588	64	136	3541965
YBR022W_5primeutr	85.926	304.348	21	69	3541965
YBR023C	69.453	246.000	861	3500	3541965
YBR023C_3primeutr	66.587	235.849	25	106	3541965
YBR023C_5primeutr	24.911	88.235	3	34	3541965
YBR024W	37.623	133.260	121	908	3541965
YBR024W_3primeutr	30.597	108.374	22	203	3541965
YBR024W_5primeutr	37.367	132.353	9	68	3541965
YBR025C	597.482	2116.259	2512	1187	3541965
YBR025C_3primeutr	742.360	2629.412	447	170	3541965
YBR025C_5primeutr	417.356	1478.261	34	23	3541965
YBR026C	58.685	207.860	238	1145	3541965
YBR026C_3primeutr	104.969	371.795	29	78	3541965
YBR028C	46.995	166.456	263	1580	3541965
YBR029C	41.036	145.349	200	1376	3541965
YBR029C_3primeutr	29.024	102.804	11	107	3541965
YBR029C_5primeutr	9.706	34.380	23	669	3541965
YBR030W	63.911	226.370	376	1661	3541965
YBR030W_5primeutr	47.055	166.667	8	48	3541965
