#gene ID (SGD database)	Initial_Footprint_1_rpkm	5min_Footprint_1_rpkm	30min_Footprint_1_rpkm	Initial_Footprint_2_rpkm	5min_Footprint_2_rpkm	30min_Footprint_2_rpkm	Initial_mRNA_1_rpkm	5min_mRNA_1_rpkm	30min_mRNA_1_rpkm	5min_mRNA_2_rpkm	30min_mRNA_2_rpkm
orf	rdens.init.rpkm1	rdens.5min.rpkm1	rdens.30min.rpkm1	rdens.init.rpkm2	rdens.5min.rpkm2	rdens.30min.rpkm2	mrna.init.rpkm1	mrna.5min.rpkm1	mrna.30min.rpkm1	mrna.5min.rpkm2	mrna.30min.rpkm2
YBL058W	105.584264	100.8820227	236.1376365	123.7650615	99.99261363	244.1219774	94.44212933	96.60864	270.5007857	88.57125283	252.0575424
YBL059C-A	60.14284241	73.74245154	80.8231498	49.53457445	46.12886284	84.30911912	93.01535735	75.3139696	174.3817206	74.34467675	132.2240214
YBL059W	23.36907718	31.78847035	47.61851679	19.38428785	26.20706615	45.7084366	20.73968118	24.15713528	49.79030488	24.43136152	35.68544704
YBL060W	6.721229494	6.174407574	11.68641807	5.781683868	4.894111942	7.437476041	19.10549543	17.40608933	30.68802329	15.52359018	28.59485476
YBL061C	21.55769416	13.41594911	23.4369654	16.99614832	10.17008365	15.77835933	38.46898181	30.45090182	48.04970135	31.76045059	45.27704599
YBL063W	5.23953228	3.089060255	4.982507311	6.20589578	4.224305263	4.965804324	5.685847815	7.338178302	10.31161033	8.698788398	12.23164708
YBL064C	48.10675921	383.8811779	1334.445169	52.93966001	305.801238	1354.100671	84.82848287	386.792411	1695.838549	373.1854126	1420.199379
YBL066C	2.751338021	2.521486077	3.513771444	2.167844742	1.723907301	2.324216257	3.332997871	4.335720128	6.580941861	5.976374734	6.377369786
YBL067C	20.95942793	17.08275075	19.4641495	20.36399633	12.43104792	16.36061605	36.80493371	30.20407866	33.98948414	31.07399696	42.505111
YBL068W	63.75452312	67.0133138	23.81816205	59.41830859	67.23782958	16.66850988	80.41449032	79.48409897	16.61117075	69.16060651	18.75416832
YBL069W	33.87637654	32.56786142	21.51911166	29.86298876	29.36391026	16.24732375	28.93485678	35.4271984	21.82474075	35.04172155	20.98457477
YBL071W-A	96.28621118	118.7797877	31.82667521	92.6667958	90.65824455	19.05440604	176.9640883	69.67688685	36.03773775	131.5412177	22.25326818
