# Lee et al. "A dynamic model of proteome changes reveals new roles for transcript alteration in yeast" Molecular Systems Biology 7:514 (2011).
#Protein	Metrics	NA	NA	Quantitation	NA	NA	NA	NA	NA	NA	NA
#Protein	Probability Score	PSMs	Unique Peptides	"TMT-130 Intensity
#0 min"	"TMT-126 Intensity
#30 min"	"TMT-127 Intensity
#60 min"	"TMT-128 Intensity
#90 min"	"TMT-129 Intensity
#120 min"	"TMT-131 Intensity
#240 min"	Quantified PSMs	Quantified Unique Peptides
orf	probability.score	psms	unique.peptides	tmt.130.intensity.nacl.0min	tmt.126.intensity.nacl.30min	tmt.127.intensity.nacl.60min	tmt.128.intensity.nacl.90min	tmt.129.intensity.nacl.120min	tmt.131.intensity.nacl.240min	quantified.psms	quantified.unique.peptides
YGR180C	0	342	23	115936748.6	114518274.2	116525496	120217307.3	123050642.2	136862019.9	161	24
YGL026C	0	279	28	113520633.2	115731635.1	123991643.8	126057180	133151430.9	151397955.2	130	27
YKL060C	0	3818	30	1179894512	1202069428	1128302791	1172284916	1173854347	1331732612	2195	44
YBR121C	0	472	48	299948196	292248281.9	295877753.4	300809515.8	301095667.5	302735238.1	273	42
YDL126C	0	496	56	210040893.8	209982889.7	227763436.5	237808314	235687707.4	236975471.5	276	52
YLR354C	0	321	35	275371344.3	273388397.5	258696398.4	266533575.7	272106731.9	267448834.8	175	28
YER070W	0	107	31	8301532.669	7688246.428	9086444.952	9545210.949	9782923.696	10841383.86	31	16
YDL182W	0	249	29	32043234.44	33070379.64	37081034.3	37388985.05	35990234.96	35932832.79	38	7
YCR012W	0	3583	55	1878049760	1843384928	1845470352	1895596374	1909873572	1915746242	1974	53
YGL076C	4.94065645841247E-324	440	21	1964393.129	2117710.528	1882137.771	1823212.799	1808992.551	1792086.646	1	1
YFR044C	2.47032822920623E-323	192	22	74875979.07	77171663.41	79008882.75	87317042.07	89838748.85	104893993.8	90	18
YML028W	2.96439387504748E-323	939	19	330390454	325473813.3	346519620.4	363890609.4	373739793.8	390426846.4	441	18
YER090W	6.42285339593621E-323	126	23	82840872.86	86735046.7	90628878.69	91719673.56	93028320.26	96572494.62	69	18
YEL047C	4.15015142506647E-322	96	25	43130184.93	45581710.91	46975959.67	49466378.83	52036948.22	53010420.61	33	16
YIL075C	6.76869934802508E-322	79	27	29155428.96	29463032.62	33462471.84	33008180.91	32729372.77	30301947.56	31	14
YMR300C	3.91299991506267E-321	95	22	24073250.38	24248485.09	24501757.96	22538958.18	22670791.68	20803172.81	31	11
YMR116C	4.84184332924422E-321	975	21	435011948.7	417857170.6	387493796.5	373580076.4	373061629.3	403358094.1	428	22
YHR104W	9.87637226036652E-321	122	23	23871704.61	40549254.97	59185770.1	59714500.39	59501609.07	62225427.83	64	17
YIL018W	1.95813037416261E-319	770	22	252545830.3	244399167	234062975.6	235644809.8	236118068.4	241491826.9	391	23
YMR146C	2.45856946683521E-319	159	22	67242053.24	66640241.46	61361821.86	59442187.62	58217508.54	60444928.83	76	16
YOR046C	8.99446508253989E-319	100	22	43358481.68	44592072.97	47031800.7	46591232	46810025.53	43087576.98	38	13
YGL120C	1.78545937159756E-317	103	23	15961361.97	15071037	13621659.81	15021284.64	13922956.39	14503009.35	37	12
YMR105C	2.23022764136241E-316	127	24	14622285.56	33812284.03	62126620.31	61740140.64	66048869.65	59292506.58	39	12
YDL143W	2.73794685401155E-311	104	23	46726316.33	47743083.66	47304703.22	45415807.99	43354943.05	44021999.05	35	13
YBL099W	9.12986739389751E-311	191	21	124182289.1	132604135.5	135764418.6	139661967.9	147749174.1	158318803.5	101	20
YNL007C	1.64384654678527E-310	148	21	78502749.34	85290424.57	92155175.66	88603085.42	84307704.12	81208387.11	73	17
YBR189W	0.00E+00	341	23	259968451.8	238868396.8	243344744.9	236270352.5	238631087.6	237725670.5	189	20
YPR041W	0.00E+00	173	21	85998647.08	84827527.86	86646175.75	87353837.55	85655567.18	84488505.39	85	14
YOR310C	2.74E-308	186	20	124570655.3	115497544.8	116131272.6	113709839.8	109389269.1	105252193.3	90	17
